01/04/2024, 22:06
Project Statistics

                 	Segments	Words	Characters (w/o spaces)	Characters (w/ spaces)	#Files	
Total:           	    2764	20372	                 112846	                130652	   180	
Remaining:       	    2521	20177	                 110738	                128366	   100	
Unique:          	    1910	16991	                  91684	                106687	    89	
Unique Remaining:	    1902	16946	                  91441	                106406	    89	


Individual File Statistics:

File Name                                  	Total Segments	Remaining Segments	Unique Segments	Unique Remaining Segments	Total Words	Remaining Words	Unique Words	Unique Remaining Words	Total Characters (w/o spaces)	Remaining Characters (w/o spaces)	Unique Characters (w/o spaces)	Unique Remaining Characters (w/o spaces)	Total Characters (w/ spaces)	Remaining Characters (w/ spaces)	Unique Characters (w/ spaces)	Unique Remaining Characters (w/ spaces)	
editing/qa-checks.md                       	             1	                 0	              0	                        0	          0	              0	           0	                     0	                            5	                                0	                             0	                                       0	                           5	                               0	                            0	                                      0	
editing/repetitions.md                     	             1	                 0	              0	                        0	          0	              0	           0	                     0	                            5	                                0	                             0	                                       0	                           5	                               0	                            0	                                      0	
editing/shortcuts.md                       	             1	                 0	              0	                        0	          0	              0	           0	                     0	                            5	                                0	                             0	                                       0	                           5	                               0	                            0	                                      0	
editing/tags.md                            	             1	                 0	              0	                        0	          0	              0	           0	                     0	                            5	                                0	                             0	                                       0	                           5	                               0	                            0	                                      0	
exercises/alt.md                           	            35	                35	             33	                       33	        391	            391	         389	                   389	                         2163	                             2163	                          2152	                                    2152	                        2516	                            2516	                         2505	                                   2505	
exercises/aut.md                           	            62	                62	             55	                       55	        563	            563	         542	                   542	                         3221	                             3221	                          3032	                                    3032	                        3731	                            3731	                         3531	                                   3531	
exercises/fnd.md                           	            42	                42	             36	                       36	        267	            267	         238	                   238	                         1582	                             1582	                          1341	                                    1341	                        1799	                            1799	                         1539	                                   1539	
exercises/index.md                         	            10	                10	             10	                       10	         49	             49	          49	                    49	                          344	                              344	                           344	                                     344	                         385	                             385	                          385	                                    385	
exercises/mat.md                           	            97	                97	             80	                       80	        758	            758	         609	                   609	                         3935	                             3935	                          3062	                                    3062	                        4576	                            4576	                         3584	                                   3584	
exercises/nav.md                           	            44	                44	             36	                       36	        351	            351	         318	                   318	                         1866	                             1866	                          1609	                                    1609	                        2158	                            2158	                         1879	                                   1879	
